kidney_cell_id,egfr_category,uacr_category,frozen_evidence_status,scientific_reason_class,publication_display_class,reason_hierarchy_precedence,suppression_source,deterministic,prevalence_used_to_define_reason
G2_25_LT50__A0_LT30,G2_25_LT50,A0_LT30,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_ALBUMINURIA_BELOW_BRANCH_THRESHOLD,CONDITIONAL_REASON_ALBUMINURIA_BELOW_BRANCH_THRESHOLD,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G2_25_LT50__A1_30_LE100,G2_25_LT50,A1_30_LE100,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_ALBUMINURIA_BELOW_BRANCH_THRESHOLD,CONDITIONAL_REASON_ALBUMINURIA_BELOW_BRANCH_THRESHOLD,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G2_25_LT50__A2_GT100_LE300,G2_25_LT50,A2_GT100_LE300,DIRECT_DOMAIN_REPRESENTATION,DIRECT_COMPATIBLE,DIRECT_COMPATIBLE,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G2_25_LT50__A3_GT300_LT5000,G2_25_LT50,A3_GT300_LT5000,DIRECT_DOMAIN_REPRESENTATION,DIRECT_COMPATIBLE,DIRECT_COMPATIBLE,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G2_25_LT50__A4_GE5000,G2_25_LT50,A4_GE5000,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_UACR_AT_OR_ABOVE_5000,CONDITIONAL_REASON_UACR_AT_OR_ABOVE_5000,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G3_50_LT60__A0_LT30,G3_50_LT60,A0_LT30,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_ALBUMINURIA_BELOW_BRANCH_THRESHOLD,CONDITIONAL_REASON_ALBUMINURIA_BELOW_BRANCH_THRESHOLD,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G3_50_LT60__A1_30_LE100,G3_50_LT60,A1_30_LE100,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_ALBUMINURIA_BELOW_BRANCH_THRESHOLD,CONDITIONAL_REASON_ALBUMINURIA_BELOW_BRANCH_THRESHOLD,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G3_50_LT60__A2_GT100_LE300,G3_50_LT60,A2_GT100_LE300,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_ALBUMINURIA_BELOW_BRANCH_THRESHOLD,CONDITIONAL_REASON_ALBUMINURIA_BELOW_BRANCH_THRESHOLD,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G3_50_LT60__A3_GT300_LT5000,G3_50_LT60,A3_GT300_LT5000,DIRECT_DOMAIN_REPRESENTATION,DIRECT_COMPATIBLE,DIRECT_COMPATIBLE,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G3_50_LT60__A4_GE5000,G3_50_LT60,A4_GE5000,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_UACR_AT_OR_ABOVE_5000,SUPPRESSED,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing suppression flag for G3_50_LT60__A4_GE5000,YES,NO
G4_60_LE75__A0_LT30,G4_60_LE75,A0_LT30,NO_DIRECT_COMPLETED_DOMAIN_REPRESENTATION,NO_DIRECT,NO_DIRECT,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G4_60_LE75__A1_30_LE100,G4_60_LE75,A1_30_LE100,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_ALBUMINURIA_BELOW_BRANCH_THRESHOLD,CONDITIONAL_REASON_ALBUMINURIA_BELOW_BRANCH_THRESHOLD,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G4_60_LE75__A2_GT100_LE300,G4_60_LE75,A2_GT100_LE300,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_ALBUMINURIA_BELOW_BRANCH_THRESHOLD,CONDITIONAL_REASON_ALBUMINURIA_BELOW_BRANCH_THRESHOLD,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G4_60_LE75__A3_GT300_LT5000,G4_60_LE75,A3_GT300_LT5000,DIRECT_DOMAIN_REPRESENTATION,DIRECT_COMPATIBLE,DIRECT_COMPATIBLE,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G4_60_LE75__A4_GE5000,G4_60_LE75,A4_GE5000,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_UACR_AT_OR_ABOVE_5000,SUPPRESSED,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing suppression flag for G4_60_LE75__A4_GE5000,YES,NO
G5_GT75__A0_LT30,G5_GT75,A0_LT30,NO_DIRECT_COMPLETED_DOMAIN_REPRESENTATION,NO_DIRECT,NO_DIRECT,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G5_GT75__A1_30_LE100,G5_GT75,A1_30_LE100,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_EGFR_GT75_WITH_CKD_MARKER,CONDITIONAL_REASON_EGFR_GT75_WITH_CKD_MARKER,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G5_GT75__A2_GT100_LE300,G5_GT75,A2_GT100_LE300,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_EGFR_GT75_WITH_CKD_MARKER,CONDITIONAL_REASON_EGFR_GT75_WITH_CKD_MARKER,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G5_GT75__A3_GT300_LT5000,G5_GT75,A3_GT300_LT5000,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_EGFR_GT75_WITH_CKD_MARKER,CONDITIONAL_REASON_EGFR_GT75_WITH_CKD_MARKER,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G5_GT75__A4_GE5000,G5_GT75,A4_GE5000,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_UACR_AT_OR_ABOVE_5000,CONDITIONAL_REASON_UACR_AT_OR_ABOVE_5000,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
