trial,NCT,phenotype_branch_id,phenotype_branch_name,criterion_id,criterion_description,criterion_role,necessary_for_branch,source_type,source_citation_or_asset,exact_source_location,observability_class,nhanes_variable,nhanes_operational_definition,proxy_limitation,unavailable_reason,notes
SUSTAIN-6,NCT01720446,SUSTAIN6-B1-RESIDUAL,Age ≥50 with residual source-defined clinical cardiovascular disease,SUSTAIN-6-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01720446; manuscript reference [25],criterion_segment_id=NCT01720446-S009,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
SUSTAIN-6,NCT01720446,SUSTAIN6-B1-RESIDUAL,Age ≥50 with residual source-defined clinical cardiovascular disease,SUSTAIN-6-AGE50,Age ≥50 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01720446; manuscript reference [25],criterion_segment_id=NCT01720446-S003,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
SUSTAIN-6,NCT01720446,SUSTAIN6-B1-RESIDUAL,Age ≥50 with residual source-defined clinical cardiovascular disease,SUSTAIN-6-CVD-RESIDUAL,Clinical cardiovascular disease outside the specified CHD/MI/stroke proxy,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01720446; manuscript reference [25],criterion_segment_id=NCT01720446-S003,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,The source uses broad clinical cardiovascular disease; residual manifestations are structurally unavailable.,source phenotype precedes NHANES observability.
SUSTAIN-6,NCT01720446,SUSTAIN6-B2,Age ≥50 with trial-defined CKD,SUSTAIN-6-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01720446; manuscript reference [25],criterion_segment_id=NCT01720446-S009,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Alternative OR branch preserved.
SUSTAIN-6,NCT01720446,SUSTAIN6-B2,Age ≥50 with trial-defined CKD,SUSTAIN-6-AGE50,Age ≥50 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01720446; manuscript reference [25],criterion_segment_id=NCT01720446-S003,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,Alternative OR branch preserved.
SUSTAIN-6,NCT01720446,SUSTAIN6-B2,Age ≥50 with trial-defined CKD,SUSTAIN-6-CKD,Trial-defined CKD qualification,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01720446; manuscript reference [25],ClinicalTrials.gov NCT01720446; CKD qualifying branch,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,The trial documentation identifies CKD qualification but does not provide a sufficiently specific threshold for reproducible participant-level mapping.,Alternative OR branch preserved.
SUSTAIN-6,NCT01720446,SUSTAIN6-B3,Age ≥60 with subclinical cardiovascular risk,SUSTAIN-6-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01720446; manuscript reference [25],criterion_segment_id=NCT01720446-S009,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Alternative OR branch preserved.
SUSTAIN-6,NCT01720446,SUSTAIN6-B3,Age ≥60 with subclinical cardiovascular risk,SUSTAIN-6-AGE60,Age ≥60 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01720446; manuscript reference [25],criterion_segment_id=NCT01720446-S003,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥60; missing/invalid unresolved.,,,Alternative OR branch preserved.
SUSTAIN-6,NCT01720446,SUSTAIN6-B3,Age ≥60 with subclinical cardiovascular risk,SUSTAIN-6-SUBCLINICAL,Trial-defined subclinical cardiovascular-risk construct,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01720446; manuscript reference [25],criterion_segment_id=NCT01720446-S003,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,The subclinical disease/risk construct cannot be reconstructed from the specified variables without inventing criteria.,Alternative OR branch preserved.
EXSCEL,NCT01144338,EXSCEL-B1,Broad T2D cardiovascular-risk spectrum,EXSCEL-AGE18,Age ≥18 years,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01144338; manuscript reference [24],criterion_segment_id=NCT01144338-S012,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥18; missing/invalid unresolved.,,,Established ASCVD is deliberately not mandatory.
EXSCEL,NCT01144338,EXSCEL-B1,Broad T2D cardiovascular-risk spectrum,EXSCEL-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01144338; manuscript reference [24],criterion_segment_id=NCT01144338-S008,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Established ASCVD is deliberately not mandatory.
HARMONY Outcomes,NCT02465515,HARMONY-B1,Established coronary/cerebrovascular disease,HARMONY Outcomes-AGE40,Age ≥40 years,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02465515; manuscript reference [26],criterion_segment_id=NCT02465515-S016,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥40; missing/invalid unresolved.,,,Disease alternatives preserved.
HARMONY Outcomes,NCT02465515,HARMONY-B1,Established coronary/cerebrovascular disease,HARMONY Outcomes-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02465515; manuscript reference [26],criterion_segment_id=NCT02465515-S004,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Disease alternatives preserved.
HARMONY Outcomes,NCT02465515,HARMONY-B1,Established coronary/cerebrovascular disease,HARMONY Outcomes-ASCVD,Established coronary or cerebrovascular disease phenotype,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02465515; manuscript reference [26],criterion_segment_id=NCT02465515-S005,PROXY_OBSERVABLE,MCQ160C;MCQ160E;MCQ160F,Three-valued OR: any yes=positive; all no=negative; otherwise unresolved. Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,"Self-report captures CHD, MI, and stroke but not imaging stenosis, all revascularization constructs, or symptomatic PAD. All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.",,Disease alternatives preserved.
HARMONY Outcomes,NCT02465515,HARMONY-B1-RESIDUAL,Established coronary/cerebrovascular disease not captured by specified proxy,HARMONY Outcomes-AGE40,Age ≥40 years,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02465515; manuscript reference [26],criterion_segment_id=NCT02465515-S016,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥40; missing/invalid unresolved.,,,Disease alternatives preserved.
HARMONY Outcomes,NCT02465515,HARMONY-B1-RESIDUAL,Established coronary/cerebrovascular disease not captured by specified proxy,HARMONY Outcomes-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02465515; manuscript reference [26],criterion_segment_id=NCT02465515-S004,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Disease alternatives preserved.
HARMONY Outcomes,NCT02465515,HARMONY-B1-RESIDUAL,Established coronary/cerebrovascular disease not captured by specified proxy,HARMONY Outcomes-CVD-RESIDUAL,Coronary/cerebrovascular manifestations outside self-reported CHD/MI/stroke,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02465515; manuscript reference [26],criterion_segment_id=NCT02465515-S005,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,The source disease categories are broader than the specified self-report proxy; negative proxy cannot exclude them.,source phenotype precedes NHANES observability.
HARMONY Outcomes,NCT02465515,HARMONY-B2,Established peripheral arterial disease,HARMONY Outcomes-AGE40,Age ≥40 years,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02465515; manuscript reference [26],criterion_segment_id=NCT02465515-S016,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥40; missing/invalid unresolved.,,,Disease alternatives preserved.
HARMONY Outcomes,NCT02465515,HARMONY-B2,Established peripheral arterial disease,HARMONY Outcomes-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02465515; manuscript reference [26],criterion_segment_id=NCT02465515-S004,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Disease alternatives preserved.
HARMONY Outcomes,NCT02465515,HARMONY-B2,Established peripheral arterial disease,HARMONY Outcomes-PAD,Trial-defined peripheral arterial disease,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02465515; manuscript reference [26],criterion_segment_id=NCT02465515-S005,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,Symptomatic PAD is not specified in NHANES 2017–March 2020.,Disease alternatives preserved.
