trial,branch_id,criterion_id,criterion_role,role_justification,observability_class,NHANES_release,NHANES_variable,coding_valid_values,missing_unresolved_coding,used_in_current_mapping,proxy_information_loss,proxy_acceptance_for_direct,proxy_direct_boundary,unavailable_reason,source_provenance,source_phenotype_precedes_observability
LEADER,LEADER-B1-PVD,LEADER-AGE50,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B1-PVD,LEADER-PVD,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,No specified NHANES variable reproduces the source-defined peripheral vascular disease construct.,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B2,LEADER-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B2,LEADER-AGE50,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B2,LEADER-CRF,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,The available trial documentation did not support a reproducible operational threshold for the qualifying chronic-renal-failure construct.,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B3,LEADER-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B3,LEADER-AGE50,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B3,LEADER-HF,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,No specified NHANES phenotype reproduces the trial-defining chronic-HF construct.,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B4,LEADER-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B4,LEADER-AGE60,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥60; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B4,LEADER-RISK,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,The available trial documentation did not specify the multivariable risk construct with sufficient detail for reproducible participant-level mapping.,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
SUSTAIN-6,SUSTAIN6-B1,SUSTAIN-6-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01720446; manuscript reference [25],YES
SUSTAIN-6,SUSTAIN6-B1,SUSTAIN-6-AGE50,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01720446; manuscript reference [25],YES
SUSTAIN-6,SUSTAIN6-B1,SUSTAIN-6-ASCVD,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,PROXY_OBSERVABLE,2017–March 2020,MCQ160C;MCQ160E;MCQ160F,Three-valued OR: any yes=positive; all no=negative; otherwise unresolved. Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-report captures CHD, MI, and stroke but not imaging stenosis, all revascularization constructs, or symptomatic PAD. All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.",Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.,,ClinicalTrials.gov NCT01720446; manuscript reference [25],YES
SUSTAIN-6,SUSTAIN6-B1-RESIDUAL,SUSTAIN-6-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01720446; manuscript reference [25],YES
SUSTAIN-6,SUSTAIN6-B1-RESIDUAL,SUSTAIN-6-AGE50,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01720446; manuscript reference [25],YES
SUSTAIN-6,SUSTAIN6-B1-RESIDUAL,SUSTAIN-6-CVD-RESIDUAL,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,The source uses broad clinical cardiovascular disease; residual manifestations are structurally unavailable.,ClinicalTrials.gov NCT01720446; manuscript reference [25],YES
SUSTAIN-6,SUSTAIN6-B2,SUSTAIN-6-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01720446; manuscript reference [25],YES
SUSTAIN-6,SUSTAIN6-B2,SUSTAIN-6-AGE50,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01720446; manuscript reference [25],YES
SUSTAIN-6,SUSTAIN6-B2,SUSTAIN-6-CKD,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,The trial documentation identifies CKD qualification but does not provide a sufficiently specific threshold for reproducible participant-level mapping.,ClinicalTrials.gov NCT01720446; manuscript reference [25],YES
SUSTAIN-6,SUSTAIN6-B3,SUSTAIN-6-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01720446; manuscript reference [25],YES
SUSTAIN-6,SUSTAIN6-B3,SUSTAIN-6-AGE60,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥60; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01720446; manuscript reference [25],YES
SUSTAIN-6,SUSTAIN6-B3,SUSTAIN-6-SUBCLINICAL,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,The subclinical disease/risk construct cannot be reconstructed from the specified variables without inventing criteria.,ClinicalTrials.gov NCT01720446; manuscript reference [25],YES
EXSCEL,EXSCEL-B1,EXSCEL-AGE18,CORE_NECESSARY,Common population requirement.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥18; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01144338; manuscript reference [24],YES
EXSCEL,EXSCEL-B1,EXSCEL-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01144338; manuscript reference [24],YES
HARMONY Outcomes,HARMONY-B1,HARMONY Outcomes-AGE40,CORE_NECESSARY,Common population requirement.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥40; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT02465515; manuscript reference [26],YES
HARMONY Outcomes,HARMONY-B1,HARMONY Outcomes-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT02465515; manuscript reference [26],YES
HARMONY Outcomes,HARMONY-B1,HARMONY Outcomes-ASCVD,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,PROXY_OBSERVABLE,2017–March 2020,MCQ160C;MCQ160E;MCQ160F,Three-valued OR: any yes=positive; all no=negative; otherwise unresolved. Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-report captures CHD, MI, and stroke but not imaging stenosis, all revascularization constructs, or symptomatic PAD. All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.",Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.,,ClinicalTrials.gov NCT02465515; manuscript reference [26],YES
